13 סיבות למה,none,"🎬 13 סיבות למה\n🎭 ז'אנר: דרמה, מתח\n📅 שנת יציאה: 2017\n⏱ אורך פרק: כ-50 דקות\n\nתקציר:\nלאחר שהתלמידה האנה בייקר מתאבדת, חבריה מקבלים קלטות שהשאירה מאחור, ובהן היא מפרטת את 13 הסיבות למעשה. ככל שהקלטות מתגלות, נחשפים סודות אפלים וטלטלות רגשיות שמשנות את חייהם של כל המעורבים. 🎧💔\n\n🔗 קישור לדרייב: https://drive.google.com/drive/folders/1JC_1PwWAlFRCN-Q94AGRlsAQFx40paCa",single,,,g,,,,,0,,,,,,,,seconds,0,0,,,,,,,,,,,,,124,0
99 ברוקלין,none,"🎬 ברוקלין 99\n🎭 ז'אנר: קומדיה, משטרתית\n📅 שנת יציאה: 2013\n⏱ אורך פרק: 22 דקות\n\nתקציר:\nהסדרה עוקבת אחרי צוות בלשנים בתחנת משטרת ברוקלין, ניו יורק. היא מציגה את עבודת צוותם בשילוב עם סיטואציות מצחיקות, רגעים אנושיים והקשיים שהם חווים, יחד עם היחסים בין חברי הצוות. 😄🚔\n\n🔗 קישור לדרייב: \n♦️ עונה 1 ♦️\nhttps://drive.google.com/folderview?id=1tyyDV_9FTNN6-7fZAbCaUNIf-Vu8CRPG\n\n♦️ עונה 2 ♦️\nhttps://drive.google.com/folderview?id=1u3vY9R0snr8aLZM6RsMuYJIb37SlgQwh\n\n♦️ עונה 3 ♦️\nhttps://drive.google.com/folderview?id=1u9c5HuzZbXPlsFfvppKeV0ctBgCL6j2f\n\n♦️ עונה 4 ♦️\nhttps://drive.google.com/folderview?id=1uEVfWhX5cCKeUoZGG_k1ytlxStKPM9Ej\n\nעונה 4 פרק 15 ↙️\nhttps://drive.google.com/file/d/11Z3bTxopHE0L4IgR7o_6-ngLa7Lyso3W/view?usp=drivesdk\n\n♦️ עונה 5 ♦️\nhttps://drive.google.com/folderview?id=1uQ4fwRM_LBXX5nlypNLLY5o_8xrc0V8X\n\n♦️ עונה 6 ♦️\nhttps://drive.google.com/folderview?id=1uRV435kioiZ4Aj4zdeQIinui_PSMHOWt\n\n♦️ עונה 7 ♦️\nhttps://drive.google.com/folderview?id=1uSmkX2QCR6hCWfE09MCsrf1UGhmKu3Hu\n\n♦️ עונה 8 ♦️\nhttps://drive.google.com/drive/folders/1BXKxUlgv2jRE2JGny9n8scg0ZmmhSbLb?usp=sharing",single,,,g,,,,,0,,,,,,,,seconds,0,0,,,,,,,,,,,,,133,0
אהבה חדשה,none,"🎬 אהבה חדשה – עונה 4 + 5\n🎭 ז’אנר: ריאליטי, רומנטיקה\n📅 שנת יציאה: 2025\n\n📖 תקציר: ארבעה רווקים ורווקות נפגשים למטרת אהבה, כשהם מתנסים בחיים משותפים עם בני זוג פוטנציאליים. בכל שלב, עליהם להחליט אם להמשיך יחד או לנסות עם מישהו חדש. האם ימצאו את האחד? ❤️🏡\n\n> *Qbzn • DriveFlix*\n\n🔗 קישור לדרייב:\n*עונה 4*\nhttps://drive.google.com/drive/folders/11O1rramtLW45Wcbii6gkybUWeHxyMUgB\n\n*עונה 5*\nhttps://drive.google.com/drive/folders/1PUI7J45oBHMed_8dr1O2QqmXFCIT_zz-",single,,,g,,,,,0,,,,,,,,seconds,0,0,,,,,,,,,,,,,222,0
אוואטר אנג,none,"🎬 אווטאר אנג\n🎭 ז'אנר: אנימציה, הרפתקאות, פנטזיה\n📅 שנת יציאה: 2005\n⏱ אורך פרק: כ-22 דקות\n\nתקציר:\nאנג, הילד שבורח ממנהרה של 100 שנה, מוצא את עצמו במרכז מאבק עולמי. הוא חייב ללמוד לשלוט בארבעת היסודות כדי להביס את האימפריה השלטת ולהשיב את האיזון לעולם. 🌍🔥\n\n🔗 קישור לדרייב: https://drive.google.com/drive/folders/1scjgbLI7HQiJ9OH8t5oQF80H9aGoassR",single,,,g,,,,,0,,,,,,,,seconds,0,0,,,,,,,,,,,,,180,0
אווטאר אנג,none,"🎬 אווטאר אנג\n🎭 ז'אנר: אנימציה, הרפתקאות, פנטזיה\n📅 שנת יציאה: 2005\n⏱ אורך פרק: כ-22 דקות\n\nתקציר:\nאנג, הילד שבורח ממנהרה של 100 שנה, מוצא את עצמו במרכז מאבק עולמי. הוא חייב ללמוד לשלוט בארבעת היסודות כדי להביס את האימפריה השלטת ולהשיב את האיזון לעולם. 🌍🔥\n\n🔗 קישור לדרייב: https://drive.google.com/drive/folders/1scjgbLI7HQiJ9OH8t5oQF80H9aGoassR",single,,,g,,,,,0,,,,,,,,seconds,0,0,,,,,,,,,,,,,147,0
אווטאר כשף האוויר האחרון,none,"🎬​ אווטאר: כשף האוויר האחרון (Live-Action, Netflix, 2024)\n🎭 ז'אנר: פנטזיה, הרפתקאות, לייב-אקשן\n📅 שנת יציאה: 2024\n⏱ מספר פרקים: 8 (כ-50 דקות כל פרק)\n\n📝 תקציר:\nאנג, בשנות ה-12 לחייו, מתעורר לאחר 100 שנים קפאון כדי לגלות שהוא האווטאר — היחיד שיכול לשלוט בארבעת היסודות ולהשיב איזון לעולם. יחד עם קטרה וסוקה, הוא יוצא להרפתקה אפית מול אומת האש. הסדרה מצליחה לשמור על נשמת המקור תוך השקעה עצומה באפקטים, תפאורה וקריצה למעריצים! 🌀🔥🌊🧘‍♂️\n> Driveflix \n🔗 קישור לדרייב:\nhttps://drive.google.com/drive/folders/1-2eMJTW8xx_Eus4Tmi2-wACzhaG6nfBW",single,,,g,,,,,0,,,,,,,,seconds,0,0,,,,,,,,,,,,,889,0
אווטאר קורה,none,"🎬 אווטאר: קורה\n🎭 ז'אנר: הרפתקאות, פנטזיה\n📅 שנת יציאה: 2012\n⏱ אורך פרק: 22 דקות\n\nתקציר:\nהסדרה עוקבת אחרי קורה, המורה החדשה לאוויר, אשר מנסה להביא איזון לעולם שנמצא במצוקה. היא פוגשת אויבים חזקים ומאתגרת את עצמה כדי לשמור על השלום ולתת ליקום הזדמנות לחזור לאיזון. 🌀🌪\n\n🔗 קישור לדרייב: https://drive.google.com/drive/folders/1ifw4BCx4ZbHzRXfqr3sQ7nVxqA21RQr7",single,,,g,,,,,0,,,,,,,,seconds,0,0,,,,,,,,,,,,,177,0
אור ראשון,none,"🎬 אור ראשון (Red Alert / Or Rishon, 2025)\n🎭 ז'אנר: דרמה • היסטוריה • מלחמה\n📅 שנת יציאה: 2025\n⏱ מספר פרקים: 4\n⭐ דירוג: אין מספיק ביקורות רשמיות עדיין (ב-IMDb / edb) \n\n📝 תקציר:\nמיני-סדרה ישראלית שמבוססת על אירועים אמיתיים מ-7 באוקטובר 2023. ארבעה סיפורי גבורה שמתרחשים באותו יום טראגי — בת שבע יהלומי מניר עוז נמלטת מחטיפה עם בנותיה, בנה איתן נחטף ובעלה נהרג בשבי; טלי חדד מאופקים פינתה פצועים תחת אש, כולל בנה איתמר; השוטרות רס""ב ליאת צביאלי ורס""מ נופר (שמות בדויים) מחפ""ק הנובה, חילצות תחת אש; ואיוב מהנגב, שאחרי שאשתו נהרגה, מסתתר עם בנו בן התינוק והציל חיילים ממחבל מארב קטלני. הסדרה נוצרה בשיתוף עם האנשים עצמם שמסרו את הסיפור שלהם. \n\n> Driveflix\n🔗 קישור לדרייב:\nhttps://drive.google.com/drive/folders/1erStSGyjy3t9lUVUA2lvHOxAYdwzLnFL",single,,,g,,,,,0,,,,,,,,seconds,0,0,,,,,,,,,,,,,1034,0
אזהרת מסע אתונה,none,"🎬 אזהרת מסע: אתונה\n🎭 ז'אנר: דרמת מתח\n📅 שנת יציאה: 2025\n⏱ אורך פרק: כ-37 דקות\n\n📝 תקציר:\nהסדרה עוקבת אחר אריק שור, פוליטיקאי ישראלי, שנוסע לאתונה כדי לפגוש את בתו הסודית.  הם מוצאים עצמם במרדף מסוכן לאחר חטיפה מסתורית, כשקונספירציה בינלאומית מאיימת על חייהם.  העלילה מתפתחת בין רחובות אתונה לצילומים מרהיבים, תוך שילוב של דרמה משפחתית ומותחן פוליטי.   🎭🕵️‍♂️🏛️\n\n> *Qbzn*\n> *🔗 קישור לדרייב:*\nhttps://drive.google.com/drive/folders/1bd4DA3KrXsjCNyv5KIca631QuygK-3Aq",single,,,g,,,,,0,,,,,,,,seconds,0,0,,,,,,,,,,,,,719,0
אחד מאיתנו משקר,none,"🎬 אחד מאיתנו משקר\n🎭 ז’אנר: דרמה, מסתורין, פשע\n📅 שנת יציאה: 2021\n\n📖 תקציר: חמישה תלמידי תיכון נכנסים יחד לריתוק, אך רק ארבעה מהם יוצאים ממנו בחיים. כשהמשטרה חוקרת את המקרה, מתגלים סודות אפלים על כל אחד מהם, וכל אחד הופך לחשוד. סדרת מתח מסקרנת שמלאה בתפניות בלתי צפויות. 🎭🔍\n\n🔗 קישור לדרייב: \nעונה 1\nhttps://drive.google.com/drive/folders/15qMjOf47YU6TJBuWWolpoxyYg4msu893\n\nעונה 2\nhttps://drive.google.com/drive/folders/17Y-YRMfGENYz8udOzJ65P6A0xdPU-kTr",single,,,g,,,,,0,,,,,,,,seconds,0,0,,,,,,,,,,,,,329,0
